id,status,dtegranted,archived,code,LayerName,objectid,areaunit,dteapplied,LayerID,commodities,part,parties,dteexpires,areavalue,type,commoditiescd
1712,Active,2012-09-03T01:00:00,False,PML004599EZ,Active PML Licenses,70682,Hectares,2010-10-27T08:30:00,4,Gold,Part 1,"Yahaya Ally Makame (49%), Bryson  Wilfred (2%), Julian Eliamani Kilonzo (2%), Bakari Adamu Ngomelo (2%), Sadiki Majaliwa (2%), Zakaria Zuberi Mtula (2%), Omary Ally Mndailla (2%), Abeid Salum Shabani (2%), Mgeni Swetbet Makambi (2%), Ally Gugu (2%), Mart",2019-09-02T01:00:00,9.25,Primary Mining Licence - All Minerals other than Building Material,Au
1713,Active,2013-01-31T00:00:00,False,PML006149EZ,Active PML Licenses,70684,Hectares,2010-11-09T11:18:00,4,Gold,Part 1,Lyamba Moses Lunyili (100%),2020-01-30T00:00:00,9.35,Primary Mining Licence - All Minerals other than Building Material,Au
1714,Active,2013-01-31T00:00:00,False,PML006152EZ,Active PML Licenses,70685,Hectares,2010-11-09T11:15:00,4,Gold,Part 1,Lyamba Moses Lunyili (100%),2020-01-30T00:00:00,9.31,Primary Mining Licence - All Minerals other than Building Material,Au
1715,Active,2012-12-17T00:00:00,False,PML000507EZ,Active PML Licenses,70686,Hectares,2010-11-09T11:13:00,4,Gold,Part 1,Lyamba Moses Lunyili (100%),2019-12-16T00:00:00,9.28,Primary Mining Licence - All Minerals other than Building Material,Au
1716,Active,2013-01-31T00:00:00,False,PML006151EZ,Active PML Licenses,70687,Hectares,2010-11-09T11:16:00,4,Gold,Part 1,Lyamba Moses Lunyili (100%),2020-01-30T00:00:00,9.34,Primary Mining Licence - All Minerals other than Building Material,Au
1717,Active,2013-01-31T00:00:00,False,PML006154EZ,Active PML Licenses,70688,Hectares,2010-11-09T11:12:00,4,Gold,Part 1,Lyamba Moses Lunyili (100%),2020-01-30T00:00:00,9.28,Primary Mining Licence - All Minerals other than Building Material,Au
1718,Active,2013-01-31T00:00:00,False,PML006155EZ,Active PML Licenses,70689,Hectares,2010-11-09T11:10:00,4,Gold,Part 1,Lyamba Moses Lunyili (100%),2020-01-30T00:00:00,9.23,Primary Mining Licence - All Minerals other than Building Material,Au
1719,Active,2013-01-31T00:00:00,False,PML006150EZ,Active PML Licenses,70690,Hectares,2010-11-09T11:18:00,4,Gold,Part 1,Lyamba Moses Lunyili (100%),2020-01-30T00:00:00,9.3,Primary Mining Licence - All Minerals other than Building Material,Au
1720,Active,2012-09-04T01:00:00,False,PML004598EZ,Active PML Licenses,70691,Hectares,2010-10-27T08:30:00,4,Gold,Part 1,"Yahaya Ally Makame (49%), Paschal Musira Rugembe (2%), Bryson  Wilfred (2%), Julian Eliamani Kilonzo (2%), Martin Hakim (2%), Charles Martin Lyewe (2%), Salimu Hamisi  Ramadhani (2%), Majaliwa Yusuph (2%), Bakari Adamu Ngomelo (2%), Kachwambwa Ramadhan K",2019-09-03T01:00:00,9.18,Primary Mining Licence - All Minerals other than Building Material,Au
1721,Active,2013-06-26T01:00:00,False,PML003302EZ,Active PML Licenses,70694,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.87,Primary Mining Licence - All Minerals other than Building Material,FE
1722,Active,2013-06-26T01:00:00,False,PML003291EZ,Active PML Licenses,70697,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.88,Primary Mining Licence - All Minerals other than Building Material,FE
1723,Active,2013-06-26T01:00:00,False,PML003306EZ,Active PML Licenses,70698,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.88,Primary Mining Licence - All Minerals other than Building Material,FE
1724,Active,2013-06-26T01:00:00,False,PML003309EZ,Active PML Licenses,70699,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.8,Primary Mining Licence - All Minerals other than Building Material,FE
1725,Active,2013-06-26T01:00:00,False,PML003308EZ,Active PML Licenses,70700,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.93,Primary Mining Licence - All Minerals other than Building Material,FE
1726,Active,2013-06-26T01:00:00,False,PML003307EZ,Active PML Licenses,70701,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.86,Primary Mining Licence - All Minerals other than Building Material,FE
1727,Active,2013-06-26T01:00:00,False,PML003294EZ,Active PML Licenses,70702,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.93,Primary Mining Licence - All Minerals other than Building Material,FE
1728,Active,2013-06-26T01:00:00,False,PML003293EZ,Active PML Licenses,70706,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.93,Primary Mining Licence - All Minerals other than Building Material,FE
1729,Active,2013-06-26T01:00:00,False,PML003292EZ,Active PML Licenses,70707,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.86,Primary Mining Licence - All Minerals other than Building Material,FE
1730,Active,2013-08-12T01:00:00,False,PML002468CZ,Active PML Licenses,70709,Hectares,2011-03-28T09:00:00,4,Copper,Part 1,"Amos Mwinje (33%), Seleman Shomari Makanda (33%), Lucas Tobias Mwaliki (33%)",2020-08-11T01:00:00,8.64,Primary Mining Licence - All Minerals other than Building Material,Cu
1731,Active,2013-06-26T01:00:00,False,PML003297EZ,Active PML Licenses,70711,Hectares,2011-04-20T09:07:00,4,Iron Ore,Part 1,Najat Othman (100%),2020-06-25T01:00:00,9.88,Primary Mining Licence - All Minerals other than Building Material,FE
1732,Active,2012-08-17T01:00:00,False,PML004358EZ,Active PML Licenses,70713,Hectares,2012-07-26T16:00:00,4,Building Materials,Part 1,"Godbless Mathew (12%), Samweli Naibala (11%), Lulu John (11%), Salome Godbless (11%), Alfani Kikwete (11%), Justine Gabriel (11%), Joseph Lusani Sanga (11%), Mathew John (11%), Peter G. Mathew (11%)",2019-08-16T01:00:00,4.72,Primary Mining Licence - Building Material,BM
1733,Active,2012-08-17T01:00:00,False,PML004359EZ,Active PML Licenses,70714,Hectares,2012-07-26T16:00:00,4,Building Materials,Part 1,"Godbless Mathew (12%), Samweli Naibala (11%), Lulu John (11%), Salome Godbless (11%), Alfani Kikwete (11%), Justine Gabriel (11%), Joseph Lusani Sanga (11%), Mathew John (11%), Peter G. Mathew (11%)",2019-08-16T01:00:00,4.72,Primary Mining Licence - Building Material,BM
1734,Active,2012-08-17T01:00:00,False,PML004360EZ,Active PML Licenses,70716,Hectares,2012-07-26T16:00:00,4,Building Materials,Part 1,"Godbless Mathew (12%), Samweli Naibala (11%), Lulu John (11%), Salome Godbless (11%), Alfani Kikwete (11%), Justine Gabriel (11%), Joseph Lusani Sanga (11%), Mathew John (11%), Peter G. Mathew (11%)",2019-08-16T01:00:00,4.72,Primary Mining Licence - Building Material,BM
